version,platform_version,round,episode_id,engine_version,era,declared_wire,declared_sim,formed,partners_named,kickoff_present,tags,jointact,win,rank,score,score_ratio,decode_ok
v44_baseline,43,4506,032d575d-8ae4-4432-82dc-0d43f30c8580,0.7.357,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,12,n/a_not_exported,0.2,n/a_not_tracked
v44_baseline,43,4506,a6fc61da-f40f-4fc6-bf4c-f380d2f8c2f0,0.7.357,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,8,n/a_not_exported,1.2,n/a_not_tracked
v44_baseline,43,4506,03bc5eef-939e-4a44-a870-3f56e21ff940,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,12,n/a_not_exported,0.3333,n/a_not_tracked
v44_baseline,43,4506,5f444d8b-55ae-4d85-8df4-5bc1d24e8631,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,9,n/a_not_exported,0.6667,n/a_not_tracked
v44_baseline,43,4506,2febe65e-b205-487f-9320-2b94b983ee20,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,9,n/a_not_exported,0.6667,n/a_not_tracked
v44_baseline,43,4506,94c72237-c71d-445e-97e9-cd56690d5ea3,0.7.357,pre-GV15,True,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,5,n/a_not_exported,4.5,n/a_not_tracked
v44_baseline,43,4506,9efaf3f4-fa16-461c-824d-34a8dfaf41d6,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,8,n/a_not_exported,1.0,n/a_not_tracked
v44_baseline,43,4507,249cb6f8-60b6-41e8-a3ae-04770a8005b2,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,11,n/a_not_exported,0.4,n/a_not_tracked
v44_baseline,43,4506,290a4722-fa6e-473c-b99e-f992d448c826,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,8,n/a_not_exported,1.0,n/a_not_tracked
v44_baseline,43,4507,7be12fe6-2ca9-4e35-bbc2-6f29c873b9df,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,11,n/a_not_exported,0.4286,n/a_not_tracked
v44_baseline,43,4506,4dc810f2-6dad-4b02-95f3-7e8b330a4d6d,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,2,False,4,n/a_not_exported,12.0,n/a_not_tracked
v44_baseline,43,4507,246fac3b-9396-475e-985e-2476f699a770,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,14,n/a_not_exported,0.1429,n/a_not_tracked
v44_baseline,43,4507,678274b0-86a2-49f1-beca-57b3ffff7145,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,4,n/a_not_exported,12.0,n/a_not_tracked
v44_baseline,43,4507,2baf3ace-59cf-4e20-b287-ea348fe20f51,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,4,n/a_not_exported,3.0,n/a_not_tracked
v44_baseline,43,4507,6ae8fa8b-bc4c-41bb-a453-9ee28cd7cc47,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,11,n/a_not_exported,0.4,n/a_not_tracked
v44_baseline,43,4507,f6363aff-46d5-43aa-b4c7-f47199b08fb4,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,6,n/a_not_exported,1.7778,n/a_not_tracked
v44_baseline,43,4507,25e5af4e-045d-4bfb-a767-2f46beb2a0bf,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,6,n/a_not_exported,5.3333,n/a_not_tracked
v44_baseline,43,4507,2bd41ffe-5622-44f6-8233-e1e3bc78f541,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,0,False,13,n/a_not_exported,0.1667,n/a_not_tracked
v44_baseline,43,4507,176bb9ee-e653-4f9c-962b-2e3783a74bcd,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,3,n/a_not_exported,24.0,n/a_not_tracked
v44_baseline,43,4507,c6ee5a40-fb5b-4688-bc31-fb1166e410c1,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,3,False,4,n/a_not_exported,16.9412,n/a_not_tracked
v44_baseline,43,4508,6e1a46a4-4e69-47ac-8ec1-16a97f726f7e,0.7.358,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,False,8,n/a_not_exported,1.0,n/a_not_tracked
v44_baseline,43,4507,cdde1dae-bbe3-4d5a-9124-3aab42180e0c,0.7.357,pre-GV15,False,n/a_pre_gv15,False,n/a_not_tracked,n/a_pre_v46,n/a_not_exported,1,True,1,n/a_not_exported,14043.4286,n/a_not_tracked
